番号,114,
名前,胡桃,
呼び名,胡桃,
基礎,体力,2000
基礎,気力,1400
基礎,勃起,1500;変更不要
基礎,精力,10000;変更不要
基礎,法力,1000;変更不要
基礎,情緒,1500;変更不要
基礎,理性,1000;変更不要
基礎,憤怒,1000;変更不要
基礎,工作量,0;変更不要
基礎,深度,2000;変更不要
基礎,酒気,1500
素質,性別,1,;2,1を忘れると女じゃなくなるので注意
素質,応答,1;傲慢
素質,自尊心,1;自尊心高
素質,性的兴趣,-1;保守的
素質,痛覚,-1;不怕痛
素質,快感応答,1;接受快感
素質,小悪魔,1
素質,Ｖ感度,-1;Ｖ鈍感
素質,体型,-1;矮小体型
素質,妖怪,3;吸血鬼
能力,Ｃ感覚,2
能力,欲望,1
能力,技巧,1
能力,奉仕精神,1
能力,百合属性,3

能力,清掃技能,0
能力,話術技能,0
能力,戦闘能力,1
能力,教養,1
能力,料理技能,0
能力,音楽技能,0
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,1
素質,調合Lv,1

経験,Ｖ経験,10
フラグ,基本服装セット,214
フラグ,地位,200;地位 ←大して意味のあるステじゃないので適当でいいです。（システム的にさほど意味はありませんが他のキャラを参考に、あまりおかしな数値を選ぶのはご遠慮頂きたく
フラグ,初期位置,451;開始位置 ←神社の住人でなければ99で。
フラグ,来訪時間,600:10時
フラグ,帰宅時間,1320:22時
フラグ,就寝時間,1380:23時
フラグ,起床時間,420:7時
フラグ,よく行く地域,4
フラグ,自宅位置,490
フラグ,弾幕特能,16
フラグ,口調,0
フラグ,別顔有,1
フラグ,別立ち有,1
相性,68,180;幽香
相性,115,110;艾丽
CSTR,10,～湖的门卫～　●种族：吸血少女
CSTR,11,　
CSTR,12, 在博丽神社后山湖泊担任门卫的吸血少女。
CSTR,13, 不清楚是吸血鬼，还是仅仅进行吸血的妖怪。
CSTR,14,　
CSTR,15, 现在和整座宅邸一起，与移居到太阳花田的梦幻馆主人一同生活。
