番号,116,
名前,夢月,
呼び名,夢月,
基礎,体力,2200
基礎,気力,1400
基礎,勃起,1500
基礎,情緒,1500
基礎,理性,1000
基礎,憤怒,1000
基礎,深度,3000
基礎,酒気,1100
素質,処女,1
素質,性別,1
素質,応答,-1;老實
素質,自尊心,1;自尊心高
素質,自制心,1
素質,冷漠,1
素質,感情缺乏,1
素質,性的兴趣,-1;保守的
素質,難以越過的底線,1
素質,貞操,1;贞操重视
素質,痛覚,-1;不怕痛
素質,献身的,1
素質,Ｃ感度,1;Ｃ敏感
素質,Ｖ感度,1;Ｖ敏感
素質,妖怪,9;悪魔
能力,Ｃ感覚,2
能力,Ｂ感覚,2
能力,従順,1
能力,欲望,1
能力,技巧,1
能力,奉仕精神,1
能力,百合属性,2

能力,清掃技能,1
能力,話術技能,1
能力,戦闘能力,4
能力,教養,3
能力,料理技能,1
能力,音楽技能,0
素質,伐採Lv,0
素質,釣魚Lv,0
素質,採集Lv,0
素質,調合Lv,3

経験,Ｃ経験,50
経験,Ｂ経験,30
経験,Ｃ絶頂経験,10
経験,自慰経験,5
経験,百合経験,50
フラグ,基本服装セット,216;服装
フラグ,地位,300;地位
フラグ,初期位置,457;開始位置
フラグ,来訪時間,600;10時
フラグ,帰宅時間,1320;22時
フラグ,就寝時間,1380;23時
フラグ,起床時間,420;7時
フラグ,經常去的地方,4
フラグ,自宅位置,490
フラグ,弾幕特能,578
フラグ,口調,0
相性,117,250;幻月
CSTR,10,～說謊的女僕～　●種族：悪魔
CSTR,11,　
CSTR,12,姉の幻月と共に夢幻世界の主となる存在　二人１人前
CSTR,13,女僕的格好をしているが使用人というわけではない
CSTR,14,　
CSTR,15,交際経験こそ豊富だがまだ一線を超える関係にはなっていないようである
CSTR,16,身持ちは堅く、自分をしっかり持っている
CSTR,17,その為急に深い関係になることは難しいが、誠実である限り裏切られることもないとも言える
