番号,31,;5-1
名前,東風谷 早苗,
呼び名,早苗,
基礎,体力,2200
基礎,気力,1500
基礎,勃起,1500
基礎,精力,10000
基礎,法力,2500
基礎,情緒,1500
基礎,理性,1000
基礎,憤怒,1000
基礎,工作量,0
基礎,深度,2000
基礎,酒気,1200
素質,処女,1
素質,性別,1

;素質,態度,1;叛逆

素質,胆量,1;堅強
素質,自尊心,1;自尊心高
素質,性的兴趣,1;好奇心
素質,貞操,1;贞操重视
素質,自己愛,1;解放
素質,魅力,1
素質,人気,1
素質,Ｃ感度,1;Ｃ敏感
素質,Ｖ感度,1;Ｖ敏感
素質,酒耐性,-1;不擅喝酒
素質,人类,1
素質,追加種族,1;巫女
素質,掃除係,1
能力,施虐属性,1
能力,百合属性,1

能力,清掃技能,2
能力,話術技能,1
能力,戦闘能力,3
能力,教養,2
能力,料理技能,1
能力,音楽技能,2
素質,伐採Lv,0
素質,釣魚Lv,2
素質,採集Lv,2
素質,調合Lv,0

経験,自慰経験,10
経験,百合経験,10
フラグ,基本服装セット,131;服装
フラグ,地位,700;地位
フラグ,初期位置,820
フラグ,出現位置,21
フラグ,来訪時間,660;11時
フラグ,帰宅時間,1260;21時
フラグ,就寝時間,60;1時
フラグ,起床時間,480;8時
フラグ,經常去的地方,8
フラグ,自宅位置,850;守矢神社本殿
フラグ,移動節度,1

フラグ,427,3;山麓来訪率補正
フラグ,457,732;山麓来訪位置
フラグ,弾幕特能,146
フラグ,口調,1
フラグ,別顔有,1
相性,1,120;霊夢
相性,32,200;神奈子
相性,33,150;諏訪子
相性,43,120;華扇
CSTR,工作情報,勧誘活動　火・金　12時～16時
CSTR,職場,里之广场
CSTR,10,～祭祀風的人類～　●種族：人類　●能力：引発奇跡程度的能力
フラグ,産休タイプ,1；40日目から休む
