番号,62
名前,蓬莱山 辉夜,
呼び名,辉夜,
基礎,体力,1900
基礎,気力,1800
基礎,勃起,1500
基礎,精力,10000
基礎,情緒,1500
基礎,理性,1000
基礎,憤怒,1000
基礎,酒気,2000
素質,処女,1
素質,性別,1
素質,応答,1;傲慢
素質,一線越えない,1
素質,貞操,1;贞操重视
素質,自己愛,-1;圧抑
素質,性別嗜好,1;討厭男人
素質,小悪魔,1
素質,謎之魅力,1
素質,Ｃ感度,-1;Ｃ鈍感
素質,Ｖ感度,1;Ｖ敏感
素質,胸围,-1;貧乳
素質,酒耐性,2;酒豪
素質,人类,4;月人
素質,追加種族,4;蓬莱人

能力,Ｃ感覚,1
能力,百合属性,2

能力,清掃技能,2
能力,話術技能,3
能力,戦闘能力,4
能力,教養,3
能力,料理技能,1
能力,音楽技能,2
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,1
素質,調合Lv,2

経験,絶頂経験,25
経験,自慰経験,5
経験,百合経験,50
経験,異常経験,2
フラグ,基本服装セット,162;服装
フラグ,地位,1000;地位
フラグ,初期位置,414;開始位置
フラグ,大家候補,412
フラグ,居住必要信赖度,100
フラグ,来訪時間,720;12時
フラグ,帰宅時間,1320;22時
フラグ,就寝時間,180;3時
フラグ,起床時間,660;11時
フラグ,よく行く地域,4
フラグ,自宅位置,480
フラグ,移動節度,1
フラグ,弾幕特能,57
フラグ,口調,0
フラグ,別顔有,2
フラグ,別立ち有,2
相性,52,120;铃仙
相性,53,120;帝
相性,61,120;妹红
相性,72,150;永琳
CSTR,工作情報,打理盆栽　每日　13时～14时
CSTR,職場,永远亭·庭
CSTR,10,～永远与须臾的罪人～　●种族：月人　●能力：操纵永远与须臾程度的能力
