番号,57,
名前,秦心,
呼び名,心,
基礎,体力,2000
基礎,気力,1500
基礎,勃起,1500
基礎,情緒,1500
基礎,理性,1000
基礎,憤怒,1000
基礎,深度,3000
基礎,酒気,1400
素質,処女,1
素質,1,-1
素質,性別,1
;素質,6,1
素質,態度,-1;坦率
素質,応答,-1;老實
素質,性的兴趣,1;好奇心
素質,難以越過的底線,1
素質,喜歡引人注目,1
素質,無知,1
素質,貞操,-1;不在乎貞操
素質,自己愛,1;解放
素質,羞恥心,-1;不知羞恥
素質,習得速度,1;学習快
素質,容易中毒,1
素質,Ｖ感度,-1;Ｖ鈍感
素質,付喪神,1
素質,音楽知識,3;舞踏知識
素質,音感,1;音感

能力,Ｃ感覚,2
能力,百合属性,3

能力,清掃技能,0
能力,話術技能,1
能力,戦闘能力,4
能力,教養,1
能力,料理技能,0
能力,音楽技能,3
素質,伐採Lv,0
素質,釣魚Lv,0
素質,採集Lv,0
素質,調合Lv,0

経験,絶頂経験,5
経験,百合経験,100
経験,異常経験,0
経験,戦闘経験,40
フラグ,基本服装セット,157;服装
フラグ,地位,400;地位
フラグ,初期位置,55;開始位置
フラグ,421,5;寺来訪率補正
フラグ,神社在住,55
フラグ,来訪時間,600;10時
フラグ,帰宅時間,1080;18時
フラグ,就寝時間,1260;21時
フラグ,起床時間,420;7時
フラグ,自宅位置,40
フラグ,經常去的地方,2
フラグ,弾幕特能,517
フラグ,口調,3
相性,38,130:恋
相性,51,110;荷取
相性,56,150;豊聡耳神子
相性,69,150;猯藏
相性,85,110;一輪
CSTR,工作情報,為例大祭而練習能楽
CSTR,職場,博麗神社、後院
CSTR,10,～表情豊富的ＰｏｋｅｒＦａｃｅ～　●種族：面霊気　●能力：操縱感情程度的能力
フラグ,産休タイプ,1；40日目から休む
