番号,155,
名前,天火人 ちやり
呼び名,ちやり,
基礎,体力,2200
基礎,気力,1800
基礎,勃起,1500
基礎,精力,10000
基礎,法力,1000
基礎,情緒,1500
基礎,理性,1000
基礎,憤怒,1000
基礎,工作量,0
基礎,深度,2000
基礎,酒気,2000
素質,処女,1
素質,性別,1

素質,態度,1;反抗的
素質,自尊心,-1;自尊心低
素質,開朗／阴郁,-1;阴郁
素質,貞操,-1;不在乎貞操
素質,羞恥心,-1;不知羞恥
素質,習得速度,-1;学習慢
素質,舌頭靈活,1
素質,調合知識,1
素質,容易自慰,1
素質,汚臭耐性,2;汚れ無視
素質,倒錯的,1

素質,Ｃ感度,-1;鈍感
素質,Ｖ感度,-1;鈍感
素質,Ａ感度,-1;鈍感
素質,Ｂ感度,1;敏感
素質,Ｍ感度,1;敏感
素質,胸圍,-1;貧乳
素質,酒耐性,1;很擅于喝酒
素質,妖怪,6;妖獣

能力,欲望,3
能力,技巧,1
能力,清掃技能,0
能力,話術技能,1
能力,戦闘能力,3
能力,教養,1
能力,料理技能,1
能力,音楽技能,0
素質,伐採Lv,0
素質,釣魚Lv,0
素質,採集Lv,0
素質,調合Lv,4
能力,舌,5

フラグ,基本服装セット,255;服装
フラグ,地位,1000;地位
フラグ,初期位置,947;ちやりの棲み処
フラグ,来訪時間,780;13時
フラグ,帰宅時間,60;1時
フラグ,就寝時間,180;3時
フラグ,起床時間,600;10時
フラグ,經常去的地方,9;地底
フラグ,自宅位置,970;灼熱地獄跡
;フラグ,移動率補正,
フラグ,移動節度,-1
フラグ,口調,3;～だぞ系
相性,36,120;お燐
相性,37,120;お空
相性,143,120;尤魔
相性,130,80;八千慧
相性,133,80;早鬼
相性,153,80;美天
相性,154,80;慧ノ子

CSTR,工作情報,
CSTR,職場,

CSTR,10,～穢れた有機物の怪物～　●種族：天火人（テンカジン）　●能力：血と火を操る程度の能力
