番号,117,
名前,幻月,
呼び名,幻月,
基礎,体力,2200
基礎,気力,1400
基礎,勃起,1500
基礎,情緒,1500
基礎,理性,1000
基礎,憤怒,1000
基礎,深度,3000
基礎,酒気,1100
素質,処女,1
素質,性別,1
素質,自尊心,1;自尊心高
素質,性的兴趣,1;好奇心
素質,喜歡引人注目,1
素質,貞操,-1;不在乎貞操
素質,自己愛,1;解放
素質,羞恥心,-1;不知羞恥
素質,痛覚,-1;不怕痛
素質,弄濕難易,1;容易濕
素質,舌頭靈活,1
素質,容易自慰,1
素質,快感応答,1;接受快感
素質,倒錯的,1
素質,性別嗜好,-1;兩面通吃
素質,施虐狂,1
素質,小悪魔,1
素質,Ｃ感度,1;Ｃ敏感
素質,Ｖ感度,1;Ｖ敏感
素質,胸圍,-1;貧乳
素質,妖怪,9;悪魔
能力,欲望,1
能力,技巧,2
能力,百合属性,3

能力,清掃技能,1
能力,話術技能,1
能力,戦闘能力,4
能力,教養,4
能力,料理技能,2
能力,音楽技能,0
素質,伐採Lv,0
素質,釣魚Lv,0
素質,採集Lv,0
素質,調合Lv,3

経験,Ｃ経験,20
経験,自慰経験,50
経験,百合経験,50
フラグ,基本服装セット,217;服装
フラグ,地位,300;地位
フラグ,初期位置,459;開始位置
フラグ,来訪時間,600;10時
フラグ,帰宅時間,1320;22時
フラグ,就寝時間,1380;23時
フラグ,起床時間,420;7時
フラグ,經常去的地方,4
フラグ,自宅位置,490
フラグ,弾幕特能,328
フラグ,口調,0
相性,116,250;夢月
CSTR,10,～夢幻世界之主～　●種族：悪魔
CSTR,11,　
CSTR,12,妹の夢月と共に夢幻世界の主となる存在　二人１人前
CSTR,13,姉妹共に最強クラスの実力を持つ
CSTR,14,　
CSTR,15,恋人を持った経験のある妹に対し強く遅れを感じている
CSTR,16,高い誇りを持つ一方で内心はウブな乙女であり、異性との接し方がわからないところも
CSTR,17,夢月に”負けないため”にも積極的なところがあるかもしれない
