番号,102,
名前,神綺,
呼び名,神綺,
基礎,体力,2200
基礎,気力,1700
基礎,勃起,1500
基礎,情緒,1500
基礎,理性,1000
基礎,憤怒,1000
基礎,深度,3000
基礎,酒気,2300
素質,性別,1
素質,態度,-1;坦率
素質,自尊心,1;自尊心高
素質,自制心,1
素質,難以越過的底線,1
素質,弄濕難易,1;容易濕
素質,快感応答,-1;否定快感
素質,魅力,1
素質,Ｖ感度,1;Ｖ敏感
素質,胸圍,1;巨乳
素質,酒耐性,1;擅于喝酒
素質,鼓舞,1
素質,禁断的知識,1
素質,神霊,1
能力,Ｖ感覚,1
能力,技巧,1

能力,清掃技能,1
能力,話術技能,1
能力,戦闘能力,4
能力,教養,4
能力,料理技能,1
能力,音楽技能,0
素質,伐採Lv,0
素質,釣魚Lv,0
素質,採集Lv,0
素質,調合Lv,4

経験,Ｖ経験,20
経験,絶頂経験,5
経験,精液経験,10
フラグ,基本服装セット,202;服装
フラグ,地位,1000;地位
フラグ,初期位置,522;人偶洋館・神綺的房間
フラグ,来訪時間,600:10時
フラグ,帰宅時間,1260:21時
フラグ,就寝時間,1380:23時
フラグ,起床時間,360:6時
フラグ,大家候補,531
フラグ,居住必要信賴度,100
フラグ,經常去的地方,5
フラグ,自宅位置,550;人偶的洋館
フラグ,弾幕特能,306
フラグ,口調,0
フラグ,別顔有,1
相性,17,200;愛麗絲

CSTR,工作情報,女子会　第2日曜　18～21時
CSTR,職場,人里居酒屋
CSTR,9,人偶洋館・空的部屋
CSTR,10, ～魔界之神～    ●種族：神　

フラグ,産休タイプ,2；60日目から休む
